"ID","Title","President"
"13016","Amendment to Executive Order 12580","42 - William J. Clinton"
"13031","Federal Alternative Fueled Vehicle Leadership","42 - William J. Clinton"
"13034","Executive Order 13034&mdash;Extension of Presidential Advisory Committee on Gulf War Veterans' Illnesses","42 - William J. Clinton"
"13035","Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet","42 - William J. Clinton"
"13041","Further Amendment to Executive Order 13010, as Amended","42 - William J. Clinton"
"13043","Increasing Seat Belt Use in the United States","42 - William J. Clinton"
"13045","Protection of Children From Environmental Health Risks and Safety Risks","42 - William J. Clinton"
"13048","Improving Administrative Management in the Executive Branch","42 - William J. Clinton"
"13053","Adding Members to and Extending the President's Council on Sustainable Development","42 - William J. Clinton"
"13057","Federal Actions in the Lake Tahoe Region","42 - William J. Clinton"
"13061","Federal Support of Community Efforts Along American Heritage Rivers","42 - William J. Clinton"
"13062","Continuance of Certain Federal Advisory Committees and Amendments to Executive Orders 13038 and 13054","42 - William J. Clinton"
"13064","Further Amendment to Executive Order 13010, as Amended, Critical Infrastructure Protection","42 - William J. Clinton"
"13072","White House Millennium Council","42 - William J. Clinton"
"13075","Special Oversight Board for Department of Defense Investigations of Gulf War Chemical and Biological Incidents","42 - William J. Clinton"
"13085","Establishment of the Enrichment Oversight Committee","42 - William J. Clinton"
"13089","Coral Reef Protection","42 - William J. Clinton"
"13096","American Indian and Alaska Native Education","42 - William J. Clinton"
"13100","President's Council on Food Safety","42 - William J. Clinton"
"13101","Greening the Government Through Waste Prevention, Recycling, and Federal Acquisition","42 - William J. Clinton"
"13107","Implementation of Human Rights Treaties","42 - William J. Clinton"
"13111","Using Technology To Improve Training Opportunities for Federal Government Employees","42 - William J. Clinton"
"13112","Invasive Species","42 - William J. Clinton"
