"title","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches.out","eoMatches.in","link"
"The Honorable Tom C. Clark","1977","39-Carter",FALSE,"",146,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=7672"
"Addition of the Marginal Wharf Area to Sand Island Military Reservation, Territory of Hawaii","1954","34-Eisenhower",FALSE,"__DOD__; __war__",444,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106439"
"Amendment of Executive Order No. 10450 of April 27, 1953, as Amended, Relating to Security Requirements for Government Employment","1954","34-Eisenhower",FALSE,"__security__",205,0,"10450; 10491","","http://www.presidency.ucsb.edu/ws/index.php?pid=106441"
"Exemption From Mandatory Retirement","1977","39-Carter",FALSE,"__health__; __education__",176,0,"11869; 11924","","http://www.presidency.ucsb.edu/ws/index.php?pid=7743"
"Designating the Coffee Study Group as a Public International Organization Entitled to Enjoy Certain Privileges, Exemptions, and Immunities","1961","35-Kennedy",FALSE,"",130,0,"","12033","http://www.presidency.ucsb.edu/ws/index.php?pid=58881"
"The Honorable Hugo L. Black","1971","37-Nixon",FALSE,"",145,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106667"
"Further Extension of the Existence of the Quetico-Superior Committee","1950","33-Truman",FALSE,"",95,0,"9741","10541; 11342","http://www.presidency.ucsb.edu/ws/index.php?pid=78311"
"Delegating to the Secretary of Agriculture the Authority Vested in the President by Section 4(b) of the Joint Resolution Approved December 30, 1947","1947","33-Truman",FALSE,"__USDA__; __economy__; __war__",166,0,"9577","9919","http://www.presidency.ucsb.edu/ws/index.php?pid=78084"
"The Honorable Robert A. Taft","1953","34-Eisenhower",FALSE,"",68,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=106584"
"Foreign Service Retirement and Disability System","1981","39-Carter",FALSE,"__foreign__",162,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=44545"
