"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio","energy.flag","medical.flag"
"13532","Promoting Excellence, Innovation, and Sustainability at Historically Black Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=87608","2010",1473,"44-Barack Obama","D","__innovation__; __university__; __education__; __economy__; __DOEd__; __science/research__; __security__; __GSA__; __OMB__; __budget__",TRUE,0.011541072640869,TRUE,FALSE
"13555","White House Initiative on Educational Excellence for Hispanics","http://www.presidency.ucsb.edu/ws/index.php?pid=88604","2010",1930,"44-Barack Obama","D","__education__; __university__; __economy__; __DOEd__; __DOL__; __HHS__; __innovation__; __science/research__; __technology__; __engineering__; __math__; __GSA__",TRUE,0.0113989637305699,TRUE,FALSE
"13085","Establishment of the Enrichment Oversight Committee","http://www.presidency.ucsb.edu/ws/index.php?pid=56031","1998",1317,"42-William J. Clinton","D","__security__; __nuclear__; __foreign__; __technology__; __CIA__; __NSC__; __State__; __energy__; __OMB__; __economy__; __DOE__; __DOD__; __NRC__; __science/research__",TRUE,0.0113895216400911,TRUE,FALSE
"12532","Prohibiting Trade and Certain Other Transactions Involving South Africa","http://www.presidency.ucsb.edu/ws/index.php?pid=39074","1985",1848,"40-Ronald Reagan","R","__economy__; __foreign__; __nuclear__; __energy__; __security__; __education__; __health__; __DOTr__; __State__; __computing__; __technology__; __science/research__; __DOC__; __environment__",TRUE,0.0113636363636364,TRUE,FALSE
"9925","Establishing Airspace Reservations Over Certain Facilities of the United States Atomic Energy Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=60727","1948",357,"33-Harry S. Truman","D","__AEC__; __engineering__",TRUE,0.0112044817927171,TRUE,FALSE
"13151","Global Disaster Information Network","http://www.presidency.ucsb.edu/ws/index.php?pid=61645","2000",1075,"42-William J. Clinton","D","__technology__; __foreign__; __DOC__; __NOAA__; __State__; __DOD__; __DOI__; __USDA__; __DOT__; __DOE__; __OMB__; __EPA__; __NASA__; __CIA__; __security__",TRUE,0.0111627906976744,TRUE,FALSE
"13336","American Indian and Alaska Native Education","http://www.presidency.ucsb.edu/ws/index.php?pid=61430","2004",1280,"43-George W. Bush","R","__education__; __innovation__; __science/research__; __DOEd__; __DOI__; __HHS__; __USDA__; __DOJ__; __DOL__; __university__; __computing__",TRUE,0.0109375,TRUE,FALSE
"11528","Changing the Jurisdiction and Membership of the New England River Basins Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=105863","1970",828,"37-Richard Nixon","R","__AEC__; __energy__; __nuclear__; __USDA__; __DOD__; __DOC__; __health__; __education__; __HUD__; __DOI__; __DOT__",TRUE,0.0108695652173913,TRUE,FALSE
"12829","National Industrial Security Program","http://www.presidency.ucsb.edu/ws/index.php?pid=377","1993",2672,"41-George H. W. Bush","R","__security__; __economy__; __technology__; __nuclear__; __energy__; __NSC__; __DOE__; __NRC__; __GSA__; __DOD__; __NASA__; __State__; __DOT__; __DOJ__",TRUE,0.0108532934131737,TRUE,FALSE
"12849","Implementation of Agreement With the European Community on Government Procurement","http://www.presidency.ucsb.edu/ws/index.php?pid=61545","1993",867,"42-William J. Clinton","D","__DOD__; __USDA__; __DOC__; __DOEd__; __DOE__; __security__; __nuclear__; __technology__; __energy__; __HHS__; __HUD__; __DOI__; __DOJ__; __DOL__; __State__; __DOT__; __DOTr__; __GSA__; __NASA__; __VA__; __EPA__; __NSF__; __FCC__; __NRC__",TRUE,0.0103806228373702,TRUE,FALSE
"12153","Price Controls on Heavy Crude Oil","http://www.presidency.ucsb.edu/ws/index.php?pid=32755","1979",290,"39-Jimmy Carter","D","__DOE__",TRUE,0.0103448275862069,TRUE,FALSE
"12929","Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves","http://www.presidency.ucsb.edu/ws/index.php?pid=49182","1994",97,"42-William J. Clinton","D","__DOE__",TRUE,0.0103092783505155,TRUE,FALSE
"13592","Improving American Indian and Alaska Native Educational Opportunities and Strengthening Tribal Colleges and Universities","http://www.presidency.ucsb.edu/ws/index.php?pid=97357","2011",2380,"44-Barack Obama","D","__education__; __university__; __DOI__; __DOEd__; __science/research__; __technology__; __engineering__; __math__; __innovation__; __DOJ__; __HHS__; __energy__; __EPA__; __GSA__; __OMB__; __budget__",TRUE,0.0100840336134454,TRUE,FALSE
"12658","President's Commission on Catastrophic Nuclear Accidents","http://www.presidency.ucsb.edu/ws/index.php?pid=35185","1988",708,"40-Ronald Reagan","R","__nuclear__; __energy__; __GSA__; __DOJ__; __HHS__",TRUE,0.00988700564971751,TRUE,FALSE
"13533","Providing an Order of Succession Within the Department of Defense","http://www.presidency.ucsb.edu/ws/index.php?pid=87609","2010",607,"44-Barack Obama","D","__DOD__; __technology__; __science/research__; __engineering__; __nuclear__; __energy__",TRUE,0.00988467874794069,TRUE,FALSE
